1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,-1
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,2
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,3
86,-1
87,3
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,3
101,1
102,0
103,1
104,0
105,-1
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,-1
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,4
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,1
187,-1
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,-1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,5
225,1
226,1
227,0
228,0
229,1
230,5
231,0
232,0
233,1
234,0
235,0
236,-1
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
